regime,is_holdout,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,med_valid_rate,n
broken_power_law,0,0.02,log_linear,50000.0,0.0801724362309424,9.272228183470746,1204.306526030621,0.5667,3
broken_power_law,0,0.02,geom_avg_diff,50000.0,0.0801724362309424,0.12125502364478591,13.906811542610185,0.5667,3
broken_power_law,0,0.02,richardson_1,50000.0,0.0801724362309424,0.8647984461541016,95.18648267093334,1.0,3
broken_power_law,0,0.02,richardson_2,50000.0,0.0801724362309424,1.2483181825896064,136.43240533292456,1.0,3
broken_power_law,0,0.02,richardson_3,50000.0,0.0801724362309424,1.185676657249855,130.24327459355092,0.8667,3
broken_power_law,0,0.02,richardson_a05,50000.0,0.0801724362309424,0.35889400692929097,40.157859916184805,1.0,3
broken_power_law,0,0.02,richardson_a10,50000.0,0.0801724362309424,0.21517405622386088,24.074055515783932,1.0,3
broken_power_law,0,0.02,richardson_a20,50000.0,0.0801724362309424,0.13870653561853613,15.51080042111072,1.0,3
broken_power_law,0,0.02,single_exp_fit,50000.0,0.0801724362309424,0.07553872236475463,8.437903212005278,1.0,3
broken_power_law,0,0.02,double_exp_fit,50000.0,0.0801724362309424,0.07553856524280286,8.438338935068808,1.0,3
broken_power_law,0,0.02,rational_fit,50000.0,0.0801724362309424,0.07553872227781314,8.438355053324514,1.0,3
broken_power_law,0,0.02,log_fit,50000.0,0.0801724362309424,0.07553872226083735,8.438354832476861,1.0,3
broken_power_law,0,0.02,shanks_1,50000.0,0.0801724362309424,0.11961654666213607,13.610997910006569,1.0,3
broken_power_law,0,0.02,shanks_2,50000.0,0.0801724362309424,0.12265103458278694,13.681665924238501,1.0,3
broken_power_law,0,0.02,shanks_3,50000.0,0.0801724362309424,0.12239006476530007,13.56551535949236,1.0,3
broken_power_law,0,0.02,shanks_4,50000.0,0.0801724362309424,0.12191647888044338,13.819982282960993,1.0,3
broken_power_law,0,0.02,wynn_eps_1,50000.0,0.0801724362309424,0.11961654666213721,13.61099790998691,1.0,3
broken_power_law,0,0.02,wynn_eps_2,50000.0,0.0801724362309424,0.12232082697156388,13.604032075733596,1.0,3
broken_power_law,0,0.02,wynn_eps_3,50000.0,0.0801724362309424,0.12227750264141757,13.670138444954958,1.0,3
broken_power_law,0,0.02,wynn_rho_1,50000.0,0.0801724362309424,0.12002817353332979,13.640508292646807,1.0,3
